ID	Size	Color	Name	Y	X
00	126	C2	Woodbury Clay Co.	40.406643	-78.249547
01	17	C2	Thomas H. Sant &amp; Sons Co.	40.406643	-78.249547
02	1	C1	Bittner, Hunsicker &amp; Co.	40.603236	-75.472063
03	1	C1	Fate-Root-Heath Co. (Plymouth Locomotive Works)	40.991516	-82.668826
04	1	C1	Comly-Flanigan &amp; Co.	39.948962	-75.142459
05	1	C1	Lippincott &amp; Co.	40.517909	-78.396745
06	1	C1	Reeves, Parvin &amp; Co.	40.225556	-74.766389
07	2	C1	Dean Coal Co. Fruhlinger Colliery No. 1	40.59	-78.47
30	1	C1	Dean Coal Co. Unknown	40.759229	-78.532698
08	1	C1	Western Wheeled Scraper Co.	41.76876	-88.279521
09	1	C1	Penna. Coal &amp; Coke Co. Penna. Coll. No. 10	40.37114	-78.781889
10	3	C1	Butler Bros. Co.	40.720069	-74.037815
11	1	C1	Atlas Powder Co.	40.452354	-78.289294
12	2	C1	Daniel Miller Co.	39.283969	-76.602458
13	2	C1	Gorman-Rupp Co.	40.767799	-82.529648
14	2	C1	Penn General Supply Co.	40.438732	-80.004089
15	5	C1	Thew Shovel Co./Universal Crane Co.	41.444706	-82.153521
16	1	C1	American Fork &amp; Hoe Co. Skelton Shovel Works	42.471763	-79.340763
17	2	C1	Frick-Reid Supply Corp.	40.448379	-80.002486
18	1	C1	M.B.&amp; A.H. Christy	40.225556	-74.766389
19	1	C1	Burton-Dixie Corp.	40.704691	-73.983472
20	1	C1	Mishawaka Rubber &amp; Woolen Mfg. Co.	41.664244	-86.18507
21	2	C1	Brown Shoe Co.	38.632813	-90.203253
22	1	C0	A. M. Byers Co.	40.614506	-80.228187
23	2	C0	Bethlehem Steel Co. Lackawanna Plant	42.803930	-78.852972
24	4	C0	Bethlehem Steel Co. Sparrows Point Plant	39.226037	-76.486403
25	2	C0	Bowers Pottery Co.	39.524295	-80.333478
26	1	C0	Canadian Porcelain Co.	43.25013	-79.905796
27	5	C0	Carnegie-Illinois Steel Co. Mingo Works (Carnegie Steel)	40.315171	-80.604985
28	2	C0	Carnegie-Illinois Steel Co. Edgar Thompson Works (Carnegie Steel)	40.393528	-79.856622
29	1	C0	Carnegie-Illinois Steel Co. South Works (Illinois Steel)	41.736515	-87.534911
31	3	C0	General Refractories Co. Sproul	40.270995	-78.462515
32	2	C0	General Refractories Co. Joliet	41.559823	-88.086481
33	1	C0	Harbison-Walker Refractory Co. East Chicago	41.613347	-87.458934
34	1	C0	Harbison-Walker Refractory Co. Ensley	33.490673	-86.922338
35	10	C0	Harbison-Walker Refractory Co. No. 8 Works	40.994326	-78.354409
36	8	C0	Harbison-Walker Refractory Co. Mount Union	40.386672	-77.889052
37	19	C0	Harbison-Walker Refractory Co. Retort Works	40.816343	-78.234921
38	4	C0	Harbison-Walker Refractory Co. Lower Works	40.998246	-78.362575
39	14	C0	Harbison-Walker Refractory Co. Barrett Works	41.005131	-78.386104
40	1	C0	Lapp Insulator Co.	42.969445	-78.007936
41	7	C0	Locke Insulator Co.	39.261637	-76.613635
42	2	C0	McFeely Brick Co.	40.326659	-79.370897
43	3	C0	National Tube Co. Lorain Works	41.446635	-82.120072
44	7	C0	North American Refractory Co.	40.382397	-77.874752
45	2	C2	Peter S. Duncan	40.406643	-78.249547
46	2	C0	Smith &amp; Stone, Ltd.	43.659301	-79.925455
47	2	C0	Taylor, Smith &amp; Taylor	40.618036	-80.558837
48	1	C0	United Clay Mines Corp.	40.234185	-74.774596
49	1	C0	Victor Insulators, Inc.	42.975845	-77.412379
50	1	C0	Wheeling Steel Corp. Benwood Works	40.004142	-80.736088
51	3	C0	Youngstown Sheet &amp; Tube Co. Campbell Works Converting Mills	41.07102	-80.603077
